Company_Name,Dependent-Company Status,year of founding,Age of company in years,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Technical proficiencies to analyse and interpret unstructured data,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
Company87,Success,2010,4,mobile sales analytics,E-Commerce|Analytics|Advertising|Mobile,apps,Seedcamp,6,0,No,11/1/10,4/1/11,50000,United Kingdom,Europe,2,0,3,1,3,50,No,0,medium,No,Small,Yes,Yes,No,No,Service,No,Public,No,Structured,Yes,Both,LOCAL,Non-Linear,No,None,No,No,Yes,Yes,Yes,No,No,No,No,No,Online,B2B,Low,High,Yes,Medium,Masters,21,"Engineering, management",Yes,Yes,Tier_2,416,High,1,1,1,None,184,None,30,High,Low,Yes,No,Low,No Info,Yes,No,No,No,No,No,No,2,Medium,2,25,0.05,Not Applicable,1,7.583333333,,7.692307692,3.846153846,46.58119658,0,7.692307692,7.692307692,2.777777778,6.623931624,3.846153846,13.24786325,0,0,0,0,5
Company88,Success,2009,5,Social Influence/Authority platform,Media|Advertising|Analytics|Marketing,OPERATIONS,Stefan Glaenzer|Sherry Coutu|Ab Banerjee|Shamil Chandaria|Anish Chandaria|Bill Emmott|Ditlev Schwanenflugel|Ken Olisa|Azeem Azhar|Anthemis Group|Meridian Venture Partners|Tom Glocer|Sanford Dickert,20,5,No,7/7/09,3/19/12,3000000,United Kingdom,Europe,0,0,2,3,5,50,No,0,medium,No,Medium,Yes,Yes,No,Yes,Service,Yes,Public,No,Structured,Yes,Both,LOCAL,Linear,No,Few,No,No,No,No,No,Yes,Yes,No,No,No,Online,B2B,Low,High,No,Medium,PhD,25,artificial intelligence and advanced technloges,Yes,Yes,Tier_1,500,Medium,0,0,0,Low,5,Few,37,Low,Medium,No,No,Low,No Info,No,No,Yes,No,No,Yes,No,3,Medium,0,12.5,3,Not Applicable,1,16.53333333,2 to 5,10.52631579,0,10.52631579,31.57894737,0,5.263157895,15.78947368,5.263157895,5.263157895,10.52631579,0,0,0,5.263157895,7
Company89,Success,2011,3,"technology research, AI, data mining",Analytics,intellectual property analysis and visualisation,IP Group Plc|Northstar Ventures|Arvi Tavast,,,No,1/1/11,4/1/13,200000,United Kingdom,Europe,6,0,2,0,2,10,No,1,low,No,Small,Yes,No,No,No,Service,Yes,Public,No,Both,Yes,Both,LOCAL,Non-Linear,No,Few,No,No,Yes,Yes,Yes,No,No,No,No,No,Online,B2C,Low,High,No,Medium,Masters,21,computer science,Yes,Yes,Tier_1,500,Medium,0,0,0,Low,6,None,49,Low,High,No,No,Low,No Info,No,No,No,No,No,No,No,2,Low,0,5,0.2,Not Applicable,1,6.222222222,,5.555555556,0,0,8.333333333,2.777777778,2.777777778,19.44444444,0,0,2.777777778,2.777777778,2.777777778,0,2.777777778,2
Company90,Success,2013,1,Data. Action. Profit.,E-Commerce|Retail|Analytics,retail,Alastair Mitchell|Andy McLoughlin|Tim Jackson|Phil Wilkinson|Guy Westlake|Sean Cornwell|Ned Cranborne|Shan Drummond|Innova Kapital,10,11,YES,2/1/13,3/25/14,1500000,United Kingdom,Europe,9,0,2,0,4,50,No,0,high,No,Small,Yes,No,No,Yes,Service,No,Public,No,Both,Yes,Both,GLOBAL,Linear,No,None,No,No,Yes,No,Yes,No,No,Yes,No,No,Online,B2B,Low,High,No,High,Masters,21,maths,Yes,Yes,Tier_1,500,Medium,0,0,0,Low,0,Many,37,Low,High,No,No,Low,No Info,Yes,No,Yes,No,No,Yes,Yes,1,Medium,0,50,1.5,Not Applicable,1,6.95,5 to 10,16.66666667,4.166666667,6.944444444,5.555555556,2.777777778,8.333333333,12.5,0,0,25,0,0,11.11111111,6.944444444,3
Company91,Success,2010,4,Enterprise social network,Social Networking,data visualization,Cantabria Capital,6,,No,3/1/10,3/1/10,1700000,United States,North America,0,0,0,0,6,10,No,0,low,Yes,Small,Yes,Yes,No,No,Service,Yes,Both,Yes,Structured,No,Both,global,Non-Linear,No,None,No,No,No,No,No,No,Yes,Yes,No,No,Online,B2C,None,High,Yes,Medium,Masters,21,INDUSTRI,No,No,Tier_1,500,Medium,0,0,0,None,180,None,10,Low,Medium,No,Yes,Medium,Average,Yes,Yes,No,Yes,No,Yes,Yes,3,Medium,6,3.3,1.7,Not Applicable,3,1,2 to 5,21.42857143,0,7.142857143,14.28571429,0,7.142857143,28.57142857,0,0,7.142857143,0,0,0,14.28571429,1
Company92,Success,2011,3,Healthcare transformation.,Healthcare,analytics,RPM Ventures|Arboretum Ventures|Wolverine Venture Fund|Renaissance Venture Capital Fund|Detroit Innovate,28,4,yes,1/1/11,2/10/14,1300000,United States,North America,0,0,0,0,12,50,No,0,medium,No,Large,Yes,Yes,No,No,Product,No,Both,Yes,Structured,No,none,global,Linear,No,None,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Offline,B2B,None,Medium,No,Medium,PhD,25,Medicine,Yes,Yes,Tier_1,500,High,0,1,0,High,0,Many,0,High,Medium,No,No,Medium,Bad,No,Yes,No,No,Yes,Yes,No,2,Low,7,25,1.3,Not Applicable,18,9,2 to 5,5.555555556,5.555555556,22.22222222,5.555555556,11.11111111,0,22.22222222,11.11111111,11.11111111,5.555555556,0,0,0,0,3
Company93,Success,2010,4,Competitions for startups,E-Commerce|Mobile,service,Voyager Capital|VegasTechFund|Lars-Henrik Friis Molin|Amicus Group|Kolind A/S,25,-4,yes,7/7/10,3/1/14,1100000,United States,North America,0,4,3,2,8,28,No,0,medium,No,Small,Yes,Yes,No,No,Service,No,no,No,not applicable,No,Cloud,local,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,Yes,Offline,B2B,Low,High,Yes,Medium,Masters,21,Biology,No,Yes,Tier_1,500,Medium,0,1,0,Medium,1,Many,19,Medium,Medium,No,No,Low,No Info,Yes,No,No,Yes,No,No,No,3,Low,0,9.3,1.1,Not Applicable,45,45,,23.07692308,7.692307692,23.07692308,0,0,0,7.692307692,15.38461538,7.692307692,7.692307692,0,0,0,7.692307692,3
Company94,Success,2007,7,,Healthcare,analytics,BEST Funds,,,yes,,,0,Canada,North America,0,2,2,2,12,88,No,0,low,Yes,Large,Yes,Yes,Yes,Yes,Service,No,Both,Yes,Unstructured,Yes,Platform,global,Linear,No,None,No,No,No,No,No,No,No,No,No,No,Offline,B2B,Low,Low,No,Medium,Bachelors,18,Computers,Yes,Yes,Tier_1,500,High,1,1,0,High,2,None,25,Low,Low,No,No,Low,No Info,No,No,No,No,No,No,No,3,Low,0,14.6,unknown amount,Yes,70,70,5 to 10,0,0,0,14.28571429,0,0,0,0,0,0,0,0,78.57142857,7.142857143,0
Company95,Success,2002,12,predictive solutions,Analytics,analytics,Appian Ventures|Core Capital Partners|QED Investors,31,0,No,1/1/02,9/7/11,7500000,United States,North America,0,2,0,0,2,50,No,0,medium,No,Large,Yes,Yes,Yes,Yes,Service,Yes,Both,Yes,Structured,No,Platform,Local,Non-Linear,No,None,No,No,No,Yes,No,No,Yes,No,No,No,Offline,B2B,Low,High,No,Medium,Masters,21,Business,Yes,Yes,Tier_2,500,High,1,0,0,Medium,1,None,24,High,Medium,Yes,No,Low,No Info,No,Yes,No,No,No,Yes,No,3,Low,0,4.5,7.5,Yes,65,15.48888889,,13.33333333,6.666666667,0,0,6.666666667,20,26.66666667,0,6.666666667,13.33333333,0,0,0,6.666666667,4
Company96,Success,2011,3,,Enterprise Software,Marketing & Sales,500 Startups|Tech Wildcatters|Start-Up Chile,8,0,No,7/1/11,5/1/13,50000,India,Asia,3,0,2,0,3,8,No,0,medium,No,Medium,No,No,No,Yes,Product,No,no,No,Structured,No,Platform,global,Non-Linear,Yes,None,No,No,No,No,No,No,No,No,No,Yes,Offline,B2B,Low,Low,Yes,Medium,Masters,21,business,Yes,Yes,Tier_2,500,Medium,0,0,0,None,0,None,14,Medium,Medium,No,No,Low,No Info,No,No,No,Yes,No,Yes,Yes,2,Low,0,4,0.05,Not Applicable,8,4.966666667,2 to 5,12.87878788,0,25,4.545454545,2.777777778,25.50505051,12.87878788,7.323232323,4.545454545,0,0,4.545454545,0,0,3
Company97,Success,2012,2,,,social media,,,,No,,,0,,,2,0,3,1,3,4,No,0,medium,No,Small,No,No,No,No,Service,No,Both,Yes,Unstructured,No,none,global,Non-Linear,No,None,No,No,No,No,No,No,Yes,No,No,Yes,Online,B2B,Low,Low,No,Low,Bachelors,18,Engg,Yes,Yes,None,500,Low,0,0,0,High,0,None,13,Medium,Low,Yes,No,Low,No Info,No,No,No,No,No,No,No,2,Low,0,4,0.5,Not Applicable,12,12,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Company98,Success,2012,2,,Real Estate,sales,Nexus Venture Partners,,,yes,,,0,,,1,0,4,0,4,315,No,0,medium,No,Small,Yes,No,No,No,Service,No,Both,Yes,Unstructured,No,Platform,local,Linear,No,None,No,No,No,Yes,No,No,No,No,No,Yes,Online,B2C,Low,Medium,No,Low,Bachelors,18,Engg,Yes,No Info,Tier_1,400,Low,0,0,0,High,1,None,18,High,Low,No,Yes,Low,No Info,Yes,Yes,Yes,No,No,No,No,3,Low,0,315,2.5,Not Applicable,12,12,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Company99,Success,2012,2,,,service,,,,No,,,0,,,1,0,2,0,2,No Info,No,0,low,No,Small,Yes,Yes,No,Yes,Product,No,Both,No,Structured,No,Platform,local,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,No,Online,B2C,Low,High,No,Medium,Masters,21,Computers,Yes,Yes,None,500,High,0,0,0,High,7,None,21,Low,Low,Yes,Yes,High,No Info,No,No,No,No,No,No,No,2,Low,0,No Info,0.55,Not Applicable,24,24,,2.941176471,0,41.17647059,0,0,0,2.941176471,0,0,2.941176471,0,0,0,0,4
Company100,Success,2012,2,,E-Commerce,service,500 Startups|Karamveer Singh|Dinesh Tejwani,6,0,No,1/1/12,5/14/13,0,India,Asia,3,0,2,0,4,6,No,0,medium,No,Medium,Yes,Yes,No,Yes,Product,No,Both,Yes,Structured,No,Platform,local,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2C,Low,Medium,Yes,Medium,Masters,21,Business,Yes,Yes,None,500,High,0,0,1,High,0,None,19,High,Low,No,Yes,Low,No Info,Yes,No,Yes,Yes,No,Yes,Yes,3,Low,0,6,unknown amount,Not Applicable,17,17,,16.66666667,0,0,41.66666667,8.333333333,0,8.333333333,8.333333333,0,16.66666667,0,0,0,0,2
Company101,Success,2012,2,,,service,,,,No,,,0,,,4,3,2,0,4,11,No,2,medium,No,Medium,No,No,Yes,Yes,Product,No,no,No,not applicable,Yes,Platform,local,Linear,Yes,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2C,Low,High,Yes,Medium,Masters,21,Finance,Yes,Yes,Tier_1,500,Medium,1,0,0,High,0,None,19,Medium,Low,Yes,Yes,High,No Info,Yes,No,Yes,No,No,No,No,4,High,1,11,1,Not Applicable,16,3.066666667,,10.63348416,0,0,3.846153846,7.692307692,3.846153846,20.36199095,0,0,25.33936652,2.941176471,3.846153846,14.70588235,6.787330317,0
Company102,Success,2012,2,Dashboard,Analytics,analytics,Philippe Debever,6,0,No,6/1/12,6/15/12,125000,Belgium,Europe,0,1,3,0,3,5,No,0,medium,No,Small,Yes,Yes,No,Yes,Product,Yes,Both,Yes,Unstructured,No,Platform,global,Non-Linear,No,None,No,No,No,Yes,No,No,Yes,No,No,Yes,Online,B2C,Low,Low,No,Medium,No Info,No Info,,No,No,None,223,Low,0,0,0,Medium,0,Many,25,Medium,Medium,Yes,No,Low,No Info,No,No,No,No,No,Yes,No,3,Medium,0,5,0.125,Not Applicable,1,1,2 to 5,2.222222222,2.222222222,17.77777778,2.222222222,0,4.444444444,0,2.222222222,0,2.222222222,0,0,0,0,0
Company103,Success,2010,4,,Analytics,security,Aleph,16,7,No,1/1/10,11/7/13,5000000,Switzerland,Europe,0,1,2,0,4,50,No,0,medium,No,Small,Yes,Yes,No,No,Product,No,Both,No,Both,No,Platform,global,Linear,Yes,Few,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Online,B2B,Low,High,No,Medium,Bachelors,18,Computers,Yes,Yes,Tier_2,500,Medium,0,0,0,Medium,0,None,17,Medium,High,No,No,Medium,No Info,No,No,Yes,Yes,No,Yes,No,4,High,0,16.6,5,Not Applicable,47,47,,7.692307692,3.846153846,13.84615385,0,7.692307692,3.846153846,3.846153846,10,7.692307692,41.53846154,0,0,0,0,0
Company104,Success,2009,5,Specialists in Internet TV,Analytics,service,,,,No,9/17/09,9/1/09,50000,United Kingdom,Europe,1,0,1,0,1,50,No,0,low,No,Medium,Yes,Yes,No,No,Service,Yes,Both,Yes,Structured,No Info,Platform,global,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,No,No,Offline,B2B,Low,Low,Yes,Medium,Masters,21,Media,Yes,Yes,Tier_1,500,High,1,0,0,Medium,0,None,0,Medium,Medium,No,No,Medium,No Info,No,No,Yes,No,No,Yes,No Info,3,Medium,3,12.5,0.05,Not Applicable,1,1,2 to 5,5.555555556,16.66666667,5.555555556,22.22222222,0,11.11111111,22.22222222,0,5.555555556,11.11111111,0,0,0,0,1
Company105,Success,2009,5,SaaS Marketing Analytics,Analytics|Marketing,service,Northstar Ventures,13,8,No,11/5/09,9/8/12,500000,United Kingdom,Europe,2,1,0,1,7,10,No,0,high,No,Medium,Yes,Yes,No,No,Service,Yes,Both,Yes,Structured,Yes,Cloud,No Info,Non-Linear,No,None,No,No,No,No,No,Yes,No,Yes,No,No,Online,B2B,Low,High,Yes,Medium,Masters,21,MBA,No,No,Tier_1,500,Low,0,0,0,Medium,196,Many,16,Low,Medium,No,No,Low,No Info,No,No,No,No,Yes,No,No,2,Low,15,2.5,0.5,Not Applicable,4,10.24444444,2 to 5,15.38461538,0,38.46153846,7.692307692,0,15.38461538,15.38461538,0,0,7.692307692,0,0,0,0,5
Company106,Success,2012,2,Real-time discounts platform,Mobile|Advertising|Social Networking|Marketing|E-Commerce|Analytics|Enterprise Software,Marketing & Sales,James Regan|Matt Hagger,,,No,4/20/12,9/1/12,50000,United Kingdom,Europe,3,0,1,0,2,10,No,0,None,No,Small,Yes,No,No,No,Service,Yes,no,No,not applicable,No Info,Cloud,No Info,Linear,No,None,No,No,No,No,No,No,No,Yes,No,No,Online,B2B,Low,Medium,No,Medium,Bachelors,18,Law,No,Yes,None,175,Low,0,0,0,None,1,None,11,Low,Low,No,No,Low,No Info,No,No,No,No,No,Yes,No,3,Medium,5,10,0.05,Not Applicable,6,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Company107,Success,2008,6,Food Label Data Analysis,Network / Hosting / Infrastructure|Food & Beverages|Analytics,operation,Capital Innovators|Cultivation Capital,12,9,No,1/1/08,4/5/13,100000,United States,North America,3,0,3,2,5,20,No,1,medium,No,Small,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,No,Cloud,Global,Non-Linear,No,Few,No,No,No,No,No,No,No,No,Yes,No,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18,Nutrition and Sociology ,Yes,Yes,None,500,High,0,0,0,Medium,5,None,48,High,Medium,Yes,No,Low,No Info,No,Yes,No,No,No,No,No,3,Medium,0,3,0.1,Yes,40,2.566666667,2 to 5,6.699346405,5.555555556,16.11111111,12.58169935,7.516339869,9.444444444,7.843137255,9.444444444,6.699346405,15.32679739,0,2.777777778,0,0,3
Company108,Success,2011,3,Analytics for sales decisions.,Analytics|E-Commerce|Marketing,Marketing & Sales,Eric Kwan|Google Ventures|Kenny Van Zant|Franklyn Chien|Ryan Merket|Bobby Goodlatte|Yishan Wong|Brian McClendon|Charles River Ventures|Greylock Partners|New Enterprise Associates|Y Combinator|Gabor Cselle|George Zachary|Jim Young|Alison Rosenthal|Data Collective,12,9,No,1/1/11,12/19/13,175000,United States,North America,22,0,2,0,2,10,Yes,2,low,Yes,Large,Yes,Yes,No,Yes,Service,Yes,Private,No,Both,No,Cloud,Global,Linear,No,Few,No,No,No,Yes,No,Yes,No,Yes,No,No,Online,B2B,Low,High,Yes,High,Masters,21,Business management,Yes,Yes,Tier_2,500,High,1,0,0,Low,3,None,19,Medium,Medium,No,No,Low,No Info,No,No,Yes,No,No,Yes,Yes,2,Low,0,3.333333333,0.175,Not Applicable,6,6.483333333,2 to 5,20,0,10,10,0,0,0,10,0,0,0,0,0,0,4
Company109,Success,2010,4,,Retail,Marketing & Sales,Great Oaks Venture Capital,,,No,,,0,United States,North America,1,0,1,0,3,10,No,0,medium,No,Small,Yes,Yes,No,No,Product,No,Public,Yes,Structured,Yes,Cloud,Global,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,None,High,Yes,High,Masters,21,Physocology & Human behavior,Yes,Yes,None,No Info,High,0,0,0,Low,21,None,25,Medium,High,Yes,No,Low,No Info,No,Yes,No,No,No,Yes,No,5,High,0,2,0.81,Not Applicable,12,1.242857143,2 to 5,11.76470588,0,29.41176471,29.41176471,0,0,17.64705882,5.882352941,5.882352941,0,0,0,0,0,7
Company110,Success,2010,4,A market research technology firm.,Market Research,Research,,4,,No,4/1/10,7/16/10,0,United States,North America,1,0,0,0,3,10,No,0,None,No,Small,Yes,No,No,Yes,Service,No,Public,Yes,Both,No,Cloud,Local,Non-Linear,No,No Info,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Masters,21,Theatre and Music,Yes,Yes,Tier_1,500,High,0,0,0,Low,1,None,22,No Info,Medium,No Info,No,No Info,No Info,No,No,Yes,No,No,Yes,No,3,Medium,0,12,unknown amount,Not Applicable,2,2,2 to 5,16.66666667,5.555555556,0,38.88888889,5.555555556,16.66666667,11.11111111,0,5.555555556,0,0,0,0,0,0
Company111,Success,2010,4,Business Dashboards,Analytics,"operations, sales, marketing",Jerry Yang|Paul Buchheit|SV Angel|Y Combinator,8,0,No,8/1/10,11/17/10,500000,United States,North America,3,0,2,1,5,10,No,0,low,No,Medium,No,No,No,No,Both,Yes,Private,Yes,Structured,No,Platform,Local,Non-Linear,No,Few,No,No,No,Yes,No,No,No,Yes,No,No,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18,Electrical Engineering ,Yes,Yes,Tier_1,500,High,0,0,0,Low,0,None,13,Medium,Medium,Yes,No,Low,No Info,No,Yes,Yes,No,No,No,No,3,Medium,5,2,0.5,Not Applicable,4,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Company112,Success,2012,2,,,operations,Intertrust Technologies|Fredrik Astrup|Lars Erik Baustad|Marek Kiisa|Ivar Siimar,17,,No,2/1/12,10/17/12,0,United States,North America,5,0,3,4,4,14,No,0,low,No,Large,Yes,Yes,No,No,Both,No,Public,No,Both,No,Cloud,Global,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,Masters,21,Mechatronics,Yes,Yes,Tier_2,500,High,0,0,0,High,28,None,57.5,High,Medium,Yes,No,Low,Good,Yes,Yes,Yes,No,No,Yes,No,4,High,0,7,unknown amount,Not Applicable,6,6,2 to 5,8.088235294,6.25,21.69117647,3.921568627,6.25,6.004901961,4.166666667,4.044117647,6.25,0,0,0,0,0,6
Company113,Success,2010,4,,,research,,,,No,,,0,,,4,0,0,0,3,15,No,0,medium,No,Small,Yes,Yes,No,No,Product,Yes,Both,Yes,Both,No,Platform,Local,Non-Linear,No,Few,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Online,B2B,None,High,Yes,Medium,Masters,21,Management,Yes,Yes,Tier_2,No Info,Low,0,0,0,High,0,None,23.5,Medium,Medium,Yes,No,Low,No Info,Yes,Yes,Yes,No,No,Yes,No,3,Medium,0,3,1,Not Applicable,12,12,2 to 5,5.555555556,0,5.555555556,5.555555556,5.555555556,16.66666667,11.11111111,5.555555556,5.555555556,0,0,0,27.77777778,11.11111111,0
Company114,Success,2012,2,,Retail|Mobile,Marketing & Sales,TiE Angels|Hub Angels Investment Group|Jit Saxena|Rob Soni|John Simon|Gaugarin Oliver|Prakash Khot|LaunchCapital,21,5,No,1/1/12,11/19/12,1100000,United States,North America,8,0,0,0,4,50,No,0,low,Yes,Large,No,No,No,Yes,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Online,B2B,Medium,Medium,Yes,High,Masters,21,Entrepreneurship & Innovation ,Yes,Yes,Tier_1,500,High,0,0,1,None,2,None,25,Medium,Medium,Yes,No,Low,Good,No,No,Yes,No,No,Yes,No,3,Medium,0,12,1.1,Not Applicable,10,10,5 to 10,11.76470588,0,5.882352941,0,5.882352941,5.882352941,47.05882353,0,5.882352941,5.882352941,0,5.882352941,0,5.882352941,4
Company115,Success,2009,5,,Mobile|Marketing,Marketing & Sales,Chris DeVore|Tom Peterson|Aaron Bird|Founder's Co-op|Social Leverage|TechStars|Techstars|Howard Lindzon,8,0,No,1/1/09,12/20/12,650000,United States,North America,6,0,1,2,4,11,No,0,low,Yes,Large,No,No,No,No,Both,Yes,Public,Yes,Both,No,Platform,Global,Non-Linear,Yes,Few,No,No,No,Yes,No,No,Yes,No,Yes,No,Both,B2B,Medium,Medium,Yes,Low,Bachelors,18,Computer Science,Yes,Yes,Tier_1,500,Low,0,1,0,Low,1,None,16.5,Medium,Medium,Yes,No,Medium,No Info,No,No,Yes,No,No,Yes,Yes,3,Medium,0,2.75,0.65,Not Applicable,1,12,5 to 10,6.25,0,81.25,0,0,0,6.25,6.25,0,0,0,0,0,0,2
Company116,Success,2013,1,,,operations,,,,No,,,0,,,1,0,0,0,3,10,No,0,low,Yes,Large,Yes,Yes,No,Yes,Product,Yes,Public,Yes,Both,Yes,Platform,Global,Non-Linear,No,Few,Yes,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,Medium,Yes,Low,Bachelors,18,Economics,No,Yes,None,No Info,High,0,0,0,None,0,None,6.5,Medium,Medium,Yes,No,Low,No Info,No,Yes,No,No,No,Yes,No,0,Low,0,19,0.375,Not Applicable,5,6,5 to 10,0,0,28.57142857,0,0,71.42857143,0,0,0,0,0,0,0,0,0
Company117,Success,2011,3,Customer Experience Platform,Analytics|Marketing,"Marketing, Technology, Finance & Accounting, Customer service",Friends and Family|Jeremie Berrebi,12,0,No,12/1/11,11/10/13,750000,United States,North America,3,0,0,4,4,5,No,0,low,No,Small,Yes,Yes,No,Yes,Product,Yes,Both,Yes,Both,Yes,Platform,Local,Non-Linear,No,Few,No,No,No,No,No,No,Yes,Yes,Yes,No,Online,B2B,None,High,Yes,High,Masters,21,"Marketing, Logistics & Distribution",Yes,Yes,None,500,High,0,0,0,None,8,None,14.5,Medium,Medium,Yes,No,Low,No Info,No,Yes,Yes,No,No,Yes,No,4,High,0,4,0.75,Not Applicable,24,6,2 to 5,0,0,9.090909091,36.36363636,0,9.090909091,27.27272727,9.090909091,0,9.090909091,0,0,0,0,5
Company118,Success,2009,5,New Generation of NoSQL,Network / Hosting / Infrastructure,operation,SV Angel|Sutter Hill Ventures|CrunchFund,14,-7,No,1/1/09,11/12/13,17000000,United States,North America,0,0,3,0,4,50,No,0,high,No,Medium,No,No,Yes,Yes,Service,Yes,Private,No,Both,No,Platform,Local,Non-Linear,Yes,Few,No,No,No,No,No,No,No,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,18,Accounting,No,Yes,Tier_1,500,High,0,0,0,Low,1,None,19.5,Medium,Medium,Yes,No,Low,No Info,Yes,No,Yes,No,No,Yes,No,2,Low,0,4,17,Not Applicable,45,11.51666667,2 to 5,0,0,38.88888889,0,0,8.333333333,2.777777778,0,0,0,0,0,0,0,5
Company119,Success,2005,9,Cloud computing,Enterprise Software,Computing,RTP Ventures|Almaz Capital|ru-Net Holdings,32,7,No,5/1/05,7/29/13,10000000,United States,North America,0,0,2,7,5,10,No,3,medium,No,Small,Yes,No,No,Yes,Both,Yes,Private,No,Structured,No,Cloud,Global,Non-Linear,Yes,Many,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,Bachelors,18,Computer Science,Yes,Yes,Tier_2,500,High,0,0,0,Medium,0,None,35,High,Medium,Yes,No,Low,No Info,No,No,Yes,No,No,No,No,3,Medium,0,4,10,Yes,70,10.03333333,5 to 10,2.777777778,11.11111111,77.77777778,0,0,0,8.333333333,0,0,0,0,0,0,0,1
Company120,Success,2008,6,online real estate broker,Real Estate|Mobile|E-Commerce,Marketing & Sales,Robert Stewart|Revolution LLC,22,0,No,1/30/08,8/6/12,3500000,United States,North America,1,0,2,1,8,18,No,0,high,No,No Info,Yes,Yes,No,No,Product,No,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2C,Medium,High,Yes,Medium,Bachelors,18,Marketing,Yes,Yes,Tier_2,500,High,0,0,0,Low,0,None,17,High,Low,Yes,No,Low,No Info,Yes,No,Yes,No,No,Yes,No,3,Medium,5,4,3.5,Yes,12,20,2 to 5,7.692307692,0,0,3.846153846,0,0,15.38461538,0,7.692307692,11.53846154,0,0,0,3.846153846,5
